engine,regime,concurrency,num_runs,throughput_median,throughput_spread,throughput_per_request_median,ttft_p50_median,ttft_p95_median,ttft_p95_spread,tpot_p50_median,tpot_p95_median,latency_p50_median,latency_p95_median,latency_p99_median,latency_p95_spread,success_rate_median,reasoning_tokens_mean,answer_tokens_mean,ttft_answer_p50_median
sglang_awq,long,64,1,486.93,,7.61,0.6372,0.6642,,0.1328,0.1328,68.4748,68.5017,68.5078,,1.0,,,
sglang_awq,short,1,3,8.27,0.0,8.27,0.2425,0.2468,0.0035,0.12,0.1201,15.4848,15.496,15.5015,0.0219,1.0,,,
sglang_awq,short,4,3,33.24,0.02,8.31,0.2404,0.2445,0.0048,0.1194,0.1195,15.4028,15.4135,15.4242,0.0105,1.0,,,
sglang_awq,short,16,3,133.4,0.02,8.34,0.2305,0.242,0.0031,0.1191,0.1191,15.3511,15.3664,15.4,0.0066,1.0,,,
sglang_awq,short,32,3,261.77,1.39,8.18,0.3351,0.4954,0.0413,0.1201,0.1218,15.6908,15.7342,15.7489,0.0207,1.0,,,
sglang_awq,short,64,3,505.83,1.9,7.9,0.5155,0.5553,0.0745,0.1249,0.1259,16.3794,16.4126,16.418,0.0952,1.0,,,
vllm,long,1,1,16.94,,16.94,0.0756,0.4231,,0.0589,0.0592,30.1924,30.53,30.6005,,1.0,,,
vllm,long,16,1,242.64,,15.16,0.204,0.2563,,0.0659,0.0661,33.8932,33.9791,33.9826,,1.0,,,
vllm,long,64,1,776.53,,12.13,0.6809,0.8118,,0.0847,0.0848,43.9574,44.137,44.1407,,1.0,,,
vllm,short,1,3,17.11,87.14,17.11,0.0694,0.0724,0.0476,0.0583,0.0586,7.4781,7.5077,7.5253,6.1687,1.0,0.1,127.9,0.0322
vllm,short,4,3,66.16,0.11,16.54,0.1226,0.1256,0.0006,0.06,0.0603,7.7386,7.7751,7.7884,0.0143,1.0,,,
vllm,short,16,3,254.83,1540.06,15.93,0.1956,0.2267,0.0998,0.0618,0.0619,8.0471,8.0808,8.0826,6.9032,1.0,0.7,127.3,0.1228
vllm,short,32,3,460.71,1.8,14.4,0.3446,0.3552,0.005,0.0679,0.0681,8.948,8.9863,8.9894,0.0333,1.0,,,
vllm,short,64,3,831.76,2868.8,13.0,0.5781,0.5981,0.0417,0.0757,0.0758,10.1948,10.2162,10.2208,7.7758,1.0,0.2,127.8,0.5536
vllm_awq,long,1,1,42.11,,42.11,0.0411,0.5095,,0.0236,0.024,12.1115,12.5557,12.6206,,1.0,,,
vllm_awq,long,16,1,501.23,,31.33,0.2276,0.2798,,0.0318,0.0321,16.4884,16.586,16.5904,,1.0,,,
vllm_awq,long,64,1,893.45,,13.96,0.7003,0.9947,,0.0782,0.0784,40.7554,40.9527,40.958,,1.0,,,
vllm_awq,short,1,3,43.19,0.46,43.19,0.0356,0.0398,0.0173,0.0229,0.0231,2.9478,2.9694,2.973,0.1231,1.0,,,
vllm_awq,short,4,3,162.58,2.89,40.65,0.0657,0.0826,0.0126,0.0242,0.0247,3.1411,3.2146,3.2739,0.0965,1.0,,,
vllm_awq,short,16,3,549.07,5.62,34.32,0.2287,0.2657,0.0248,0.0279,0.0284,3.7637,3.8274,3.8321,0.0341,1.0,,,
vllm_awq,short,32,3,752.23,8.07,23.51,0.4415,0.478,0.0473,0.0403,0.0412,5.5513,5.5868,5.5929,0.0333,1.0,,,
vllm_awq,short,64,3,975.64,11.36,15.24,0.6511,0.851,0.1335,0.0677,0.0691,9.3752,9.4402,9.448,0.116,1.0,,,
